firm_name,date_published,register_consulted,lookup_date,udyam_verified,iec_verified,cres_verified,manufacturer_vs_merchant
Magnum Export,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,merchant exporter
Magnum Sea Foods Limited,01/30/2020,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
"Mangala Marine Exim India Pvt. Ltd, (Unit 2)",08/24/2015,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Mangala Marine Exim India Pvt. Ltd. Unit # 1,09/07/2023,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Mangala Sea Products,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
Mangala Seafoods,10/06/2016,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
Megaa Moda Pvt. Ltd.,03/08/2019,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
"Milesh Marine Exports Pvt Ltd.,",01/16/2019,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
Milesh Marine Exports Pvt. Ltd.,12/20/2019,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
Milsha Agro Exports Pvt Ltd,04/10/2018,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
Milsha Sea Product,06/17/2020,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
"Mindhola Foods, LLP",05/08/2020,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
Munnangi Seafoods Private Limited,04/11/2014,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
NEELI AQUA PRIVATE LIMITED,07/01/2016,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
NEKKANTI MEGA FOOD PARK PRIVATE LIMITED-UNIT#1,07/15/2019,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
NEKKANTI SEA FOODS LIMITED,10/05/2016,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
NK Marine Exports LLP,04/04/2025,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,merchant exporter
Naga Hanuman Fish Packers,04/15/2024,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
