firm_name,source_alert,date_published,register_consulted,lookup_date,firm_type_manufacturer_vs_merchant,tier_status
"Tata Tea Limited, Instant Tea Division",99-19,09/16/2009,,,,
Thakar Exports,99-19,09/16/2009,,,,
THE GRAND SWEETS AND SNACKS,99-19,05/12/2017,,,,
The Waterbase Limited,16-35,09/18/2009,,,,
THEVA & CO,16-35,02/27/2013,,,,
TIT-BIT,99-19,09/16/2009,,,,
Tit-Bit Foods (India) Pvt. Ltd.,99-19,05/29/2013,,,,
Torry Harris Seafood Ltd.,16-35,09/18/2009,,,,
Trade Wings International,99-19,09/16/2009,,,,
TRADEIMPEX INTERNATIONAL,99-19,07/12/2018,,,,
Triveni Food Products Pvt Ltd.,16-35,09/18/2009,,,,
TRU VALUE OVERSEAS PVT LTD,99-19,09/26/2023,,,,
Tru Value Overseas Pvt.,99-19,09/26/2023,,,,
UMALAXMI ORGANICS PVT. LTD.,99-19,04/08/2011,,,,
Unique Fragrances,99-19,04/03/2018,,,,
Uniroyal Marine Exports Limited,16-35,09/18/2009,,,,
Unitriveni Overseas,16-35,11/15/2016,,,,
Unity Commodities,99-19,09/16/2009,,,,
Universal Spices Pprivate Limited,99-19,09/16/2009,,,,
Unknown Street,99-19,09/16/2009,,,,
"Ushodaya Enterprises Pvt. Ltd., (Foods Division), Poranki.",99-19,06/20/2016,,,,
Utsav Commodities Pvt. Ltd.,99-19,09/16/2009,,,,
V & R Commodities,99-19,09/16/2009,,,,
V. V. MARINE PRODUCTS,16-35,02/04/2016,,,,
VARMA MARINE PRIVATE LIMITED,16-35,07/31/2023,,,,
Varun Exports,99-19,09/16/2009,,,,
Vasista Marine,16-35,09/18/2013,,,,
Veejay Impex,16-35,03/26/2010,,,,
Veerabhadra Exports,16-35,08/03/2016,,,,
Veerabhadra Exports Private Limited,16-35,03/08/2023,,,,
VEERPRABHU EXPORT HOUSE,99-19,09/16/2009,,,,
Victoria Marine Marine & Agro Exports Ltd.,16-35,09/18/2009,,,,
Vidur Exports,99-19,09/16/2009,,,,
VIJAY ENTERPRISE,99-19,12/15/2016,,,,
Vinner Marine,16-35,09/18/2009,,,,
VIRAL FOOD PRODUCTS PRIVATE LIMITED,99-19,07/02/2026,,,,
VIRAL FOOD PRODUCTS PVT. LTD,99-19,07/02/2026,,,,
Viral International,99-19,09/16/2009,,,,
Voltas International Ltd,16-35,09/18/2009,,,,
Water Chestnut (Root & Tuber Vegetable),99-19,09/02/2025,,,,
WELLCOME FISHERIES LIMITED,16-35,08/29/2012,,,,
West Coast Frozen Foods Private Limited,16-35,05/04/2011,,,,
West Coast Frozen Foods Private Limited - UNIT II,16-35,04/25/2014,,,,
Wynad Export,99-19,01/24/2020,,,,
Z.A. Sea Foods,16-35,12/04/2014,,,,
Zeal Aqua Limited,16-35,07/27/2021,,,,
